country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,1,1,1/1/1987,1,3.9,6,1,5,2,1,31,5,1,3,529,9999,2,6,1,1,20,4,1/1/1976,0,4,1,3,2,4,2,3,1,1,1,1,1,1,2,1,1,2,2
1,1,1,1/1/1987,2,3.9,4,4,0,3,2,56,3,1,3,529,9999,8888,8888,8888,8888,8888,4,1/1/1950,1,2,1,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,3,3.9,6,2,4,3,1,45,0,1,3,529,9999,2,0,1,1,20,4,1/1/1959,3,1,1,2,2,3,2,3,1,1,1,1,1,1,2,1,1,2,2
1,1,1,1/1/1987,4,3.9,2,0,2,5,1,59,0,1,1,50,5,2,0,1,1,20,4,1/1/1940,0,0,1,3,2,2,2,3,1,1,1,1,2,2,2,1,1,2,2
1,1,1,1/1/1987,5,3.9,6,3,3,3,2,55,0,1,1,20,5,8888,8888,8888,8888,8888,4,1/1/1954,2,3,1,2,2,3,2,3,1,1,1,1,1,1,2,1,1,2,2
1,1,1,1/1/1987,6,3.9,12,4,8,3,1,44,3,1,3,529,9999,2,0,1,1,20,4,1/1/1969,5,5,1,2,2,2,2,3,1,1,1,1,2,2,2,1,1,2,2
1,1,1,1/1/1987,7,3.9,7,1,6,2,1,39,7,1,3,524,9999,2,6,1,1,20,4,1/1/1974,3,2,1,9999,9999,9999,8888,2,1,1,1,1,1,1,2,1,1,1,2
1,1,1,1/1/1987,8,3.9,4,1,3,2,1,40,7,1,3,524,9999,2,6,1,1,20,4,1/1/1977,1,1,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,9,3.9,7,4,3,3,1,54,0,1,3,410,9999,2,0,1,1,20,9999,1/1/9999,3,2,1,2,2,3,2,3,1,1,1,1,1,1,2,1,1,2,2
1,1,1,1/1/1987,10,3.9,4,1,3,3,1,47,5,1,3,720,9999,2,3,1,1,20,4,1/1/1960,0,2,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,11,3.9,7,1,6,2,1,28,7,1,3,522,9999,2,5,1,1,20,4,1/1/1975,1,4,1,3,3,2,2,3,1,1,1,1,1,1,2,1,1,1,2
1,1,1,1/1/1987,12,3.9,12,5,7,3,1,44,4,1,3,549,9999,2,4,1,1,20,4,1/1/1963,5,4,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,13,3.9,10,6,4,3,1,60,6,1,3,410,9999,2,0,1,1,20,4,1/1/1944,5,3,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,14,3.9,9,5,4,3,1,49,3,1,3,522,5,2,5,1,1,20,4,1/1/1964,3,3,1,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,15,3.9,4,4,0,1,2,73,1,2,3,549,5,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,2,2,2,2,3,1,1,1,1,2,2,2,1,1,2,2
1,1,1,1/1/1987,16,3.9,5,3,2,5,1,59,3,1,3,522,5,2,0,1,1,20,4,1/1/1955,2,1,1,3,3,6,1,3,1,1,1,1,1,2,1,1,1,2,2
1,1,1,1/1/1987,17,3.9,2,1,1,5,1,67,0,1,3,410,5,2,3,1,1,20,4,1/1/1948,0,0,1,2,2,3,8888,2,1,1,1,1,1,2,2,1,1,2,2
1,1,1,1/1/1987,18,3.9,10,4,6,3,1,43,3,1,3,410,5,2,1,1,1,20,4,1/1/1963,4,4,1,2,2,2,2,3,1,1,1,1,1,1,2,1,2,2,2
1,1,1,1/1/1987,19,3.9,12,3,9,3,1,40,3,1,3,529,5,2,0,1,1,20,4,1/1/1968,3,3,1,2,2,3,8888,2,1,1,1,1,2,2,2,1,1,2,2
1,1,1,1/1/1987,20,3.9,4,1,3,2,1,23,9,1,3,410,9999,2,6,1,1,20,4,1/1/1984,0,2,1,3,3,1,2,3,1,1,1,1,1,1,2,2,1,2,2
1,1,1,1/1/1987,21,3.9,7,2,5,3,1,36,3,1,3,529,5,2,2,1,1,20,4,1/1/1969,2,3,1,3,1,2,9999,9999,1,1,1,1,1,1,2,2,1,2,2
1,1,1,1/1/1987,22,3.9,4,1,3,1,1,37,6,2,3,410,5,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,3,3,7,1,3,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1/1/1987,23,3.9,3,1,2,2,1,23,7,1,9999,9999,9999,2,3,1,1,20,4,1/1/1986,1,0,1,3,2,1,8888,2,1,1,1,1,2,2,2,2,2,2,2
1,1,1,1/1/1987,24,3.9,1,1,0,1,2,69,0,2,3,142,5,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,1,1,2,2,3,1,1,1,2,2,2,2,2,2,2,2
1,1,1,1/1/1987,25,3.9,5,2,3,2,1,41,6,1,3,522,5,2,12,1,3,519,4,1/1/1982,3,0,1,2,2,2,2,3,1,1,1,1,1,1,2,1,1,1,2
1,1,1,1/1/1987,26,3.9,8,1,7,2,1,31,6,1,3,142,5,2,4,1,1,20,4,1/1/1976,4,2,1,3,3,3,2,3,1,1,1,9999,9999,9999,9999,9999,9999,9999,9999
1,1,1,1/1/1987,27,3.9,4,1,3,2,1,28,12,1,3,130,5,2,6,1,1,20,4,1/1/1983,0,2,1,3,3,2,8888,2,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,28,3.9,9,8,1,3,1,52,3,1,3,522,9999,2,0,1,1,20,2,1/1/1956,5,2,1,3,3,9999,1,3,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1/1/1987,29,3.9,6,1,5,2,1,36,6,1,3,522,9999,2,6,1,1,20,4,1/1/1975,0,4,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1/1/1987,30,3.9,6,2,4,2,1,30,6,1,3,720,9999,2,6,1,3,719,2,1/1/1981,0,4,1,3,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1/1/1987,31,3.9,2,1,1,1,1,55,0,2,3,720,9999,2,0,2,1,20,4,1/1/1960,0,0,1,2,2,3,1,3,1,1,1,1,1,1,2,1,1,2,2
1,1,1,1/1/1987,32,3.9,6,2,4,5,1,41,4,1,3,720,9999,2,0,1,1,20,4,1/1/1960,0,1,1,2,2,4,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,33,3.9,4,1,3,2,1,25,12,1,3,522,9999,2,10,1,1,20,4,1/1/1980,1,1,1,3,3,5,8888,2,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1/1/1987,34,3.9,5,3,2,3,1,57,1,1,3,529,9999,2,0,1,1,20,4,1/1/1950,3,0,1,3,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1/1/1987,35,3.9,5,4,1,3,1,42,2,1,3,522,5,2,4,1,1,20,4,1/1/1962,2,1,1,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,36,3.9,6,4,2,3,1,50,2,1,3,410,9999,2,1,1,1,20,9999,1/1/9999,2,2,1,2,1,4,8888,2,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1/1/1987,37,3.9,3,2,1,5,1,57,8,1,3,830,9999,2,3,1,1,20,9999,1/1/9999,1,0,1,2,2,3,2,3,1,1,1,1,1,1,2,1,1,2,2
1,1,1,1/1/1987,38,3.9,7,1,6,2,1,28,3,1,3,410,9999,2,3,1,1,20,2,1/1/1974,2,3,1,3,2,3,2,3,1,1,1,1,2,2,2,1,1,1,2
1,1,1,1/1/1987,39,3.9,14,5,10,3,1,69,1,1,3,522,9999,2,2,1,1,20,4,1/1/1950,2,4,1,3,2,5,2,3,1,1,1,1,2,2,2,1,1,1,2
1,1,1,1/1/1987,40,3.9,7,3,4,5,1,45,3,1,3,410,9999,2,0,1,1,20,3,1/1/1966,0,1,1,3,3,5,2,3,1,1,1,1,2,2,2,1,1,1,2
1,1,1,1/1/1987,41,3.9,10,4,6,3,1,45,2,1,3,522,5,2,2,1,1,20,4,1/1/1965,3,3,1,3,2,5,2,3,1,1,1,1,2,1,2,1,1,1,2
1,1,1,1/1/1987,42,3.9,9,3,6,3,1,37,1,1,3,559,9999,2,4,1,1,20,4,1/1/1964,4,3,1,3,2,9999,2,3,1,1,1,1,1,1,2,1,1,1,2
1,1,1,1/1/1987,43,3.9,1,1,0,5,2,56,4,1,3,720,9999,8888,8888,8888,8888,8888,4,1/1/1951,0,0,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1/1/1987,44,3.9,10,2,8,3,1,43,2,1,3,711,9999,2,4,1,1,20,4,1/1/1962,3,5,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1/1/1987,45,3.9,6,3,3,5,1,57,2,1,3,410,9999,2,3,1,1,20,4,1/1/1950,1,1,1,3,2,5,8888,6,1,1,1,1,1,1,1,1,1,1,2
